;Country;Days;CumConfirmed;CumConfirmed_per_million;CumDeaths;CumRecovered;smoothed_cumulative_testing_count;SmoothedCumTesting_per_thousand;Population;Pop_Density;Land_Area_Kmsq;HealthCapacityScore;RecoveryRate;FatalityRate;Active;Population Interval;Health Capacity Score Interval
172;Turkey;211;0.43683345145654334;0.8871670954302275;0.41493679152866536;0.469154910870913;0.9677089664374788;0.9698119767970167;0.5857411993343148;0.04101006265426239;0.4699488040113162;13.315.926.892.950.300;8.8;10.344.827.586.206.800;0.07339810267942597;50-100m;10 to 20
173;US;251;10.0;517.781.588.301.931;10.0;4.860.391.115.289.020;10.0;25.535.249.108.354.500;2.299.527.931.429.260;0.012910575280045567;5.585.572.553.581.510;7.819.843.342.036.550;4.0;10.344.827.586.206.800;10.0;100-500m;50 to 65
174;Uganda;202;0.012778037634443433;0.04724707188802322;0.0043849419228436815;0.009693860306537985;0.04216481857998576;0.07791410202433995;0.31756686228825576;0.08619707613442187;0.1220068378149694;0.11749347258485639;6.2;0.3448275862068966;0.008242170276031635;10-50m; less than 10
175;Ukraine;211;0.3601742954393211;14.110.168.891.007.700;0.2450902644959649;0.19200317617135204;0.21702793610193283;0.41944051145931166;0.3036207832064569;0.02771976457186254;0.3537422202009432;3.616.187.989.556.130;4.4;0.6896551724137931;0.3416852490824393;10-50m;20 to 35
176;United_Arab_Emirates;234;0.1390152540901511;24.086.418.408.063.100;0.020805149974343424;0.1563886728614914;0.9087470493634808;7.766.058.185.109.810;0.06848148782707489;0.044047845073096635;0.05104699805561124;42.297.650.130.548.300;9.200.000.000.000.000;0.0;0.018670992830212646;1-10m;20 to 35
177;United_Kingdom;249;0.8262655919398076;2.085.634.989.637.850;2.010.915.706.488.780;0.0040225791254008495;19.723.780.991.994.500;2.455.734.724.598.520;0.47142749068725626;0.1059426618568445;0.14772603969659892;77.154.046.997.389.000;0.0;24.137.931.034.482.700;13.333.039.077.345.300;50-100m;50 to 65
178;Uruguay;212;0.0030254226197957224;0.1487682742769561;0.0023790642347343376;0.00315300383517613;0.022126886774087324;0.5383885606950061;0.023899279300480303;0.0068350104423770645;0.10686963423838831;2.245.430.809.399.470;8.5;0.6896551724137931;0.0006710838093599527;1-10m;10 to 20
179;Uzbekistan;212;0.08026504516107297;0.41043424174816473;0.023977235620655873;0.09354440316430197;0.0;0.0;0.23230395264825898;0.029238655781279665;0.25975600097918594;2.898.172.323.759.790;9.5;0.3448275862068966;0.005593866384060814;10-50m;20 to 35
180;Venezuela;214;0.11013704451841361;0.6632618633393491;0.03330689928628073;0.12101377880130951;0.0;0.0;0.197333491226015;0.011391684070628441;0.5385944040951907;0.7702349869451699;9.0;0.3448275862068966;0.01807872758906611;10-50m; less than 10
181;Vietnam;251;0.001439505152288243;0.0018927978492593023;0.0016326911414843493;0.0016264866286137558;0.10357220868300479;0.08993522116387302;0.676060130195666;0.11847351433453579;0.18933350446901664;30.809.399.477.806.700;9.200.000.000.000.000;10.344.827.586.206.800;0.00011710187277421994;50-100m;20 to 35
184;Yemen;166;0.002657448305439412;0.014640462219300151;0.027802397723562064;0.0021088787604172502;0.0;0.0;0.20699119849622785;0.020505031327131194;0.32238702037611705;0.2349869451697128;6.5;10.0;0.0002859988046601141;10-50m; less than 10
185;Zambia;202;0.020144002342597042;0.18719627802378452;0.016093669823202872;0.023297635786641135;0.0155742794903623;0.07160454765759462;0.1274935973719734;0.008733624454148471;0.4539262053082308;26.762.402.088.772.800;9.399.999.999.999.990;0.6896551724137931;0.0011732706868340115;10-50m;20 to 35
186;Zimbabwe;189;0.010377134801689053;0.11905876355792988;0.010729113215468582;0.01032065271463792;0.010451373972102834;0.05943478869722416;0.10302992862427929;0.013670020884754129;0.236216702960743;0.44386422976501305;8.100.000.000.000.000;10.344.827.586.206.800;0.002873499801152012;10-50m; less than 10
